maxLevel,upgradeRate,mergeInterval,beaverInterval,runtime,numExperiment,avgScore,trial_1,trial_2,trial_3
12,0.16,28,200,100,3,415863.33333333331,418160,416626,412804
12,0.16,27,200,100,3,416948.0,416579,415667,418598
12,0.16,26,200,100,3,425594.33333333331,429314,422310,425159
12,0.16,25,200,100,3,417497.0,411832,427692,412967
12,0.18,30,200,100,3,421598.33333333331,423785,413995,427015
12,0.18,29,200,100,3,413792.0,415512,413378,412486
12,0.18,28,200,100,3,424073.33333333331,431076,419772,421372
12,0.18,27,200,100,3,416200.0,412530,423764,412306
12,0.18,26,200,100,3,421348.33333333331,423848,428182,412015
12,0.18,25,200,100,3,418618.33333333331,422692,415221,417942
12,0.2,30,200,100,3,420238.33333333331,415985,426565,418165
12,0.2,29,200,100,3,415472.66666666669,417016,416779,412623
12,0.2,28,200,100,3,415786.66666666669,411840,411100,424420
12,0.2,27,200,100,3,419398.0,412865,419426,425903
12,0.2,26,200,100,3,416647.0,417552,417162,415227
12,0.2,25,200,100,3,423183.0,429896,410746,428907
13,0.1,30,200,100,3,413798.33333333331,412435,416875,412085
13,0.1,29,200,100,3,419800.0,419568,410130,429702
13,0.1,28,200,100,3,423222.66666666669,418632,439064,411972
13,0.1,27,200,100,3,422630.0,429720,418651,419519
13,0.1,26,200,100,3,419509.0,418945,416746,422836
13,0.1,25,200,100,3,419807.0,412321,423957,423143
13,0.12,30,200,100,3,420728.33333333331,432325,417485,412375
13,0.12,29,200,100,3,429455.66666666669,430580,430812,426975
13,0.12,28,200,100,3,424653.33333333331,428768,430404,414788
13,0.12,27,200,100,3,413820.33333333331,410080,416696,414685
13,0.12,26,200,100,3,415582.33333333331,416770,417572,412405
13,0.12,25,200,100,3,430718.33333333331,419521,438517,434117
13,0.14,30,200,100,3,422003.33333333331,413625,433595,418790
13,0.14,29,200,100,3,416624.33333333331,420408,410601,418864
13,0.14,28,200,100,3,418834.66666666669,410656,427788,418060
13,0.14,27,200,100,3,414123.0,414020,413358,414991
13,0.14,26,200,100,3,421360.0,428984,412376,422720
13,0.14,25,200,100,3,426134.0,423667,431868,422867
13,0.16,30,200,100,3,420465.0,416185,431835,413375
13,0.16,29,200,100,3,416228.66666666669,420480,413619,414587
13,0.16,28,200,100,3,415763.33333333331,413052,416442,417796
13,0.16,27,200,100,3,420752.0,423656,425619,412981
13,0.16,26,200,100,3,416023.0,421210,410908,415951
13,0.16,25,200,100,3,422030.33333333331,424892,424507,416692
13,0.18,30,200,100,3,421738.33333333331,418155,412605,434455
13,0.18,29,200,100,3,421875.66666666669,415120,419801,430706
13,0.18,28,200,100,3,413939.33333333331,418600,410628,412590
13,0.18,27,200,100,3,427114.0,425898,415094,440350
13,0.18,26,200,100,3,417708.66666666669,418136,414705,420285
13,0.18,25,200,100,3,426450.66666666669,417568,422617,439167
13,0.2,30,200,100,3,418651.66666666669,415985,415345,424625
13,0.2,29,200,100,3,420644.0,420648,423601,417683
13,0.2,28,200,100,3,416037.33333333331,414520,419300,414292
13,0.2,27,200,100,3,420404.0,421641,417973,421598
13,0.2,26,200,100,3,415650.66666666669,421992,411818,413142
13,0.2,25,200,100,3,425380.33333333331,425992,426382,423767
